#,Citation (F.S.),Type,Governs / what to confirm,Appears in documents,Pre-verified,Live statute confirmed (Y/N),Reviewer initials,Date checked,Notes
1,§ 3.271,Florida Statute,,(header),,,,,
2,§ 28.24,Florida Statute,,HIPAA,,,,,
3,§ 44.102,Florida Statute,,Will,,,,,
4,§ 61.075,Florida Statute,,HIPAA,,,,,
5,§ 117.05,Florida Statute,Florida notary acknowledgment form. VERIFIED ✓,Trust Amendment,YES,,,,
6,§ 117.201,Florida Statute,Remote Online Notarization (RON). VERIFIED ✓,"(header), HIPAA, Trust Amendment",YES,,,,
7,§ 193.155,Florida Statute,,"CRT, Medicaid (MAPT), Will",,,,,
8,§ 193.1554,Florida Statute,,(header),,,,,
9,§ 193.461,Florida Statute,,HIPAA,,,,,
10,§ 196.031,Florida Statute,,"(header), Lady Bird Deed, Land Trust",,,,,
11,§ 196.041,Florida Statute,,"(header), Cert. of Trust, Deed, HIPAA, Land Trust, Will",,,,,
12,§ 222.11,Florida Statute,,HIPAA,,,,,
13,§ 222.14,Florida Statute,,"HIPAA, ILIT",,,,,
14,§ 222.21,Florida Statute,,HIPAA,,,,,
15,§ 319.29,Florida Statute,,HIPAA,,,,,
16,§ 393.0662,Florida Statute,,Special Needs Trust,,,,,
17,§ 394.451,Florida Statute,,HIPAA,,,,,
18,§ 409.9101,Florida Statute,,"(header), HIPAA, Lady Bird Deed, Medicaid (MAPT)",,,,,
19,§ 479.62,Florida Statute,,"(header), Cert. of Trust, Gun Trust",,,,,
20,§ 497.005,Florida Statute,,Will,,,,,
21,§ 518.11,Florida Statute,,"Cert. of Trust, HIPAA, Medicaid (MAPT), Special Needs Trust",,,,,
22,§ 518.112,Florida Statute,,HIPAA,,,,,
23,§ 605.0201,Florida Statute,,CRT,,,,,
24,§ 605.0407,Florida Statute,,CRT,,,,,
25,§ 605.0502,Florida Statute,,HIPAA,,,,,
26,§ 605.0503,Florida Statute,,"(header), CRT, HIPAA",,,,,
27,§ 605.0702,Florida Statute,,CRT,,,,,
28,§ 608.428,Florida Statute,,(header),,,,,
29,§ 608.433,Florida Statute,,(header),,,,,
30,§ 620.1201,Florida Statute,,CRT,,,,,
31,§ 620.1501,Florida Statute,,CRT,,,,,
32,§ 620.1703,Florida Statute,,CRT,,,,,
33,§ 620.1802,Florida Statute,,CRT,,,,,
34,§ 689.01,Florida Statute,,"Cert. of Trust, Lady Bird Deed, Medicaid (MAPT)",,,,,
35,§ 689.071,Florida Statute,Florida Land Trust Act. (spot-checked),"(header), Cert. of Trust, Deed, HIPAA, Land Trust, Special Needs Trust",YES,,,,
36,§ 689.073,Florida Statute,,"Cert. of Trust, Deed",,,,,
37,§ 689.075,Florida Statute,,"CRT, Lady Bird Deed",,,,,
38,§ 689.09,Florida Statute,,Land Trust,,,,,
39,§ 689.111,Florida Statute,,(header),,,,,
40,§ 689.115,Florida Statute,,HIPAA,,,,,
41,§ 689.15,Florida Statute,,(header),,,,,
42,§ 689.225,Florida Statute,,"HIPAA, Land Trust",,,,,
43,§ 709.2101,Florida Statute,,"(header), Cert. of Trust, POA",,,,,
